date,BNB,TRX,APT,DOT,ATOM
2022-11-15,250374413.7471012,,,,
2022-11-16,254281036.3113676,,,,
2022-11-17,223669974.1509992,,,,
2022-11-18,242995249.0828225,,,,
2022-11-19,218625673.3208528,,,,
2022-11-20,208810269.74741635,,,,
2022-11-21,226977377.90614173,,,,
2022-11-22,228845061.5117309,,,,
2022-11-23,242223849.1590936,,,,
2022-11-24,253219427.52552024,,,,
2022-11-25,231411040.59661612,,,,
2022-11-26,239119069.05120796,,,,
2022-11-27,241078998.3807959,,,,
2022-11-28,219216292.1925,,,,
2022-11-29,235694553.4045077,,,,
2022-11-30,249028220.60112983,,,,
2022-12-01,261043391.5220769,,,,
2022-12-02,260696270.1615916,,,,
2022-12-03,319739249.53466344,,,,
2022-12-04,217429853.85204816,,,,
2022-12-05,210093410.46535715,,,,
2022-12-06,215826959.18032303,,,,
2022-12-07,215891225.51764667,,,,
2022-12-08,211683510.37967795,,,,
2022-12-09,228398741.0028456,,,,
2022-12-10,213541443.5559008,,,,
2022-12-11,188142237.16923916,,,,
2022-12-12,170249074.3256134,,,,
2022-12-13,179893738.0227119,,,,
2022-12-14,210144173.83384663,,,,
2022-12-15,184093883.0571498,,,,
2022-12-16,183320499.2044559,,,,
2022-12-17,184324687.50843608,,,,
2022-12-18,170876489.47998756,,,,
2022-12-19,148905421.25620216,,,,
2022-12-20,163705968.85639933,,,,
2022-12-21,154642484.8153539,,,,
2022-12-22,157230426.95820686,,,,
2022-12-23,160034691.37011555,,,,
2022-12-24,149907948.77966684,,,,
2022-12-25,141369607.9369448,,,,
2022-12-26,140749067.20742902,,,,
2022-12-27,145469019.97528344,,,,
2022-12-28,140574014.98285827,,,,
2022-12-29,153609185.93120936,,,,
2022-12-30,157006114.98513603,,,,
2022-12-31,176638249.4291511,,,,
2023-01-01,154689863.7881433,,,,
2023-01-02,131984095.0064596,,,,
2023-01-03,145306569.73321787,,,,
2023-01-04,151192231.1750134,,,,
2023-01-05,157462512.91225,,,,
2023-01-06,160865636.02573806,,,,
2023-01-07,160585016.37913606,,,,
2023-01-08,152418155.46687627,,,,
2023-01-09,171824242.85603735,,,,
2023-01-10,201857498.1712169,,,,
2023-01-11,181630794.00947085,,,,
2023-01-12,185763598.22007912,,,,
2023-01-13,208689103.11691365,,,,
2023-01-14,201131615.757261,,,,
2023-01-15,230448077.54821372,,,,
2023-01-16,207039837.9228004,,,,
2023-01-17,212975541.1538685,,,,
2023-01-18,190783239.6027393,,,,
2023-01-19,207520302.8703818,,,,
2023-01-20,203946314.9868185,,,,
2023-01-21,224025089.0534427,,,,
2023-01-22,260755374.1303664,,,,
2023-01-23,190838201.54397428,,,,
2023-01-24,191578315.34567413,,,,
2023-01-25,202277090.2102264,,,,
2023-01-26,205642945.61082888,,,,
2023-01-27,205066573.47242957,,,,
2023-01-28,219044270.10086155,,,,
2023-01-29,207757116.01854804,,,,
2023-01-30,231918498.8557299,,,,
2023-01-31,247525474.1361269,,,,
2023-02-01,263253971.3214984,,,,
2023-02-02,253850941.7461478,,,,
2023-02-03,277760225.2827473,,,,
2023-02-04,254032243.24346685,,,,
2023-02-05,272186518.3669948,,,,
2023-02-06,249256038.9045017,,,,
2023-02-07,262524945.25357533,,,,
2023-02-08,269022289.3319353,,,,
2023-02-09,243060164.41562596,,,,
2023-02-10,258707231.1292128,,,,
2023-02-11,242258070.2952257,,,,
2023-02-12,254380805.50952485,,,,
2023-02-13,206976115.20965016,,,,
2023-02-14,240167654.49482635,,,,
2023-02-15,236028744.5046412,,,,
2023-02-16,256902268.2808973,,,,
