date,inflationrate,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2023-05-13,7.31429623028491,547579858.0577397,395476653.9994948,,391981448.9669217,-0.8075944885002739,6.447631888556268,8297710532.113992,20.9
2023-05-14,7.305053119301035,547578543.1796881,395475343.98416567,,391203219.924871,-0.7933204972679464,6.45378013830136,8280978190.929416,20.94
2023-05-15,7.293279461578382,547761318.3811998,395614001.2005405,,397828239.0468685,-0.8888655951846514,6.339586414499094,8316882669.84985,21.04
2023-05-16,7.285568266693685,547760376.4703754,395622113.3717272,,391655663.5832562,-0.7948652391196909,6.432792577949701,8187913902.158279,20.69
2023-05-17,7.272590693422446,547942979.5987914,395813479.1602879,,391097725.5314124,-0.7824469488724284,6.433239580565357,8341868800.046011,21.07
2023-05-18,7.223385522801571,547942016.5324867,395775368.4296215,,392447513.0452923,-0.7976595698922173,6.368107927016518,8061536789.167275,20.35
2023-05-19,7.229158917339397,547941091.9287002,395774447.3151248,,391889165.3538404,-0.7897789805574096,6.382285559181733,8059779103.665763,20.35
2023-05-20,7.222351352246843,548123638.1359351,395958063.6273661,,392551671.8021022,-0.7960788017959519,6.368776942344436,8022997471.517465,20.27
2023-05-21,7.225473111974578,548122444.8711355,395956874.9814428,,392551671.8021022,-0.7960788017959519,6.368776942344436,7783712425.51017,19.63
2023-05-22,7.216781009837433,548305172.3308301,396087466.668286,,393111980.6107891,-0.8014394299148853,6.3575034513391016,7749799385.59985,19.56
2023-05-23,7.213953178758699,548304253.8040509,396086551.73529816,,392555375.7357279,-0.7930786886346852,6.363662164855197,7940043369.313906,20.05
2023-05-24,7.211750977869648,548486610.584067,396216987.9924641,,392775755.4587673,-0.7938190556697644,6.3606836686901165,7619548993.269599,19.22
2023-05-25,7.200661182591052,548485579.6281209,396204241.4431244,,392205734.9171909,-0.7838918604290646,6.360323925254581,7626215765.408768,19.25
2023-05-26,7.191468278119332,548484642.2376114,396203307.5528163,,392769120.8693581,-0.790883864332681,6.343708251566412,7676617783.5293455,19.37
2023-05-27,7.186255992268495,548666874.1554563,396333563.1969226,,393311462.5757475,-0.7965624654565517,6.332450508905908,8089935112.023952,20.4
2023-05-28,7.184997532539848,548665929.9756774,396332622.6324737,,392745018.54102176,-0.7878009589699975,6.340593094106538,8259241871.664162,20.82
2023-05-29,7.178709018560802,548848007.4200788,396462942.826348,,393311447.0475977,-0.7934102791660624,6.328342124130041,8162528825.077333,20.59
2023-05-30,7.184909780564593,548846770.9382062,396461709.9075125,,392155947.495688,-0.7768351552837283,6.352259720230012,8420948536.256156,21.25
2023-05-31,7.185207029985594,548846309.3101461,396461250.0299174,,392155947.495688,-0.7768720142482421,6.352515153155609,8253719265.038129,20.82
2023-06-01,7.164537927011698,549027853.7593678,396595470.2831604,,387110921.0467396,-0.6958240436693686,6.418861305828376,8135209555.988281,20.51
