date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,marketcap,price
2023-09-04,27.37583791020777,1007089.7973067143,1053510110.2218884,228944901.688474,0.0032213534493317,895406691.4209651,-16.49930694471494,1256907510.2697222,5.49
2023-09-05,27.344195460648,1006667.5393020088,1053681338.2012964,229116130.166277,0.0032154627622058,895040635.648375,-16.478558716194215,1264721038.517849,5.52
2023-09-06,27.32899295386085,1017809.1862633814,1053852479.5339895,229287271.256564,0.0032211483970679,895211211.2272334,-16.46858663325744,1267958610.048799,5.53
2023-09-07,27.31391736725873,1032039.5922512152,1054023647.6173476,229458438.606211,0.0032248754198898,895385306.4827065,-16.45869545181988,1291851009.352968,5.63
2023-09-08,24.855731197237628,1026738.7914255398,1054179265.3671331,229614055.986073,0.0035870448213472,815355399.8765801,-14.813916493764312,1267469589.0431228,5.52
2023-09-09,26.116224534182148,1019107.2130790956,1054339829.6931026,229774620.652877,0.0034108905968096,857303090.9746222,-15.665325509984164,1259164921.177766,5.48
2023-09-10,26.09925994703097,981978.212816082,1054503765.0318192,229938547.543381,0.0034238683366967,857357427.6098756,-15.65397966278528,1191081676.2747135,5.18
2023-09-11,26.08609123397224,933261.062115042,1054667710.317564,230102501.59647,0.0034431610195889,857535853.765096,-15.645170375982945,1150512507.98235,5.0
2023-09-12,26.07590933944765,949646.3043371664,1054831687.7107886,230266478.886146,0.0034334020734025,857812006.1164212,-15.638357877208408,1160543053.586176,5.04
2023-09-13,25.55848518364443,969275.3642397278,1054995616.506298,234973886.565758,0.0034160958259865,857978981.0808829,-15.290705136784576,1219514471.276284,5.19
2023-09-14,25.54568183014854,965307.9931953629,1055159650.6690236,235137920.124736,0.0034014438952804,858147831.044426,-15.282066344667545,1227419943.051122,5.22
2023-09-15,25.53301672152109,966612.5294633746,1055323735.6535816,235302004.505371,0.0033729218958852,858320913.5681766,-15.273519096617116,1240041563.7433052,5.27
2023-09-16,25.52042562571357,978694.6586239868,1055487877.8413608,235466147.044113,0.0033694585602044,858496104.1083063,-15.265020087526205,1252679902.274681,5.32
2023-09-17,25.50620521502872,951012.393603387,1055652042.6126724,235630310.614879,0.0033364113716647,858615933.1077893,-15.255419237817913,1229990221.4096684,5.22
2023-09-18,25.491819654400565,943800.6010746936,1055816234.5083078,235794504.369083,0.0033234053461509,858729641.6885791,-15.245704673890003,1221415532.6318498,5.18
