date,inflationrate,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-02-05,6.230525872669467,397274763.8591809,76937055.0,,255012678.22190687,2.845793127511964,9.253626877273708,18973404616.0,77.41
2022-02-06,6.226064609088028,397275814.53392607,76937055.0,,254840080.2759052,2.843922894350448,9.24705198027337,18675640112.0,76.25
2022-02-07,6.219838327376609,397343808.46734345,76937055.0,,254732397.64571184,2.843888471436596,9.240612063947468,20418755503.0,83.33
2022-02-08,6.215321795964561,397343537.0935465,76937055.0,,254559203.755235,2.8472643021350663,9.23955273685895,21093211830.0,85.94
2022-02-09,6.26392268546622,397429496.989982,76937055.0,,256734917.79526323,2.7927300386674903,9.231587174569649,22133276291.0,90.19
2022-02-10,6.26632832630519,397420378.4677957,76937055.0,,256830868.88071424,2.7921080806148746,9.23339906647669,22652514043.0,92.47
2022-02-11,6.26363711694053,397418016.3227636,76937055.0,,256728154.975312,2.7942087985946,9.232865014968723,20181762618.0,82.12
2022-02-12,6.263528895203812,397420436.173387,76937055.0,,256739191.51163515,2.7947665517876974,9.233346457516204,19857849328.0,81.1
2022-02-13,5.820583684067578,397417406.005389,76937055.0,,238584351.43250576,3.231074919388255,9.239726023033723,19326096514.0,78.72
2022-02-14,5.824286498215407,397440455.097338,76937055.0,,238787072.04230097,3.22447746098955,9.236566764603364,20012687917.0,81.72
2022-02-15,5.820893522968009,397435772.0845639,76937055.0,,238648273.03164813,3.227944534949168,9.236733272277045,22071849489.0,90.04
2022-02-16,5.8287862727196575,397441571.2988808,76937055.0,,238993238.2186252,3.218570893886108,9.23496078504636,23332148265.0,95.27
2022-02-17,5.84588731261895,397445095.51197886,76937055.0,,239709650.1712813,3.2050291609915016,9.23827886669859,21885018652.0,89.26
2022-02-18,5.849428360182652,397444274.8497293,76937055.0,,239862072.86101088,3.201723637825138,9.238434528493404,20666521906.0,83.84
2022-02-19,5.852279120099937,397439888.4162167,76937055.0,,239979964.8373399,3.199058880690364,9.238555855704629,20532908133.0,83.72
2022-02-20,5.848592617531797,397430112.5988438,76937055.0,,239826689.5820968,3.2045376529587166,9.240550623087495,19035322975.0,77.64
